incident_id,timestamp,machine_id,tep_tag,phase,synthetic_value,z_score_vs_normal,status
INC0010,2026-01-27T17:55:00,T-401,XMEAS(16),before,81.817,-0.85,normal
INC0010,2026-01-27T18:10:00,T-401,XMEAS(16),during,58.191,3.637,abnormal
INC0010,2026-01-27T18:25:00,T-401,XMEAS(16),after,60.776,0.669,normal
INC0010,2026-01-27T17:55:00,T-401,XMEAS(17),before,28.921,-0.704,normal
INC0010,2026-01-27T18:10:00,T-401,XMEAS(17),during,82.929,2.624,abnormal
INC0010,2026-01-27T18:25:00,T-401,XMEAS(17),after,80.249,0.592,normal
INC0010,2026-01-27T17:55:00,T-401,XMEAS(18),before,34.705,0.798,normal
INC0010,2026-01-27T18:10:00,T-401,XMEAS(18),during,27.196,2.524,abnormal
INC0010,2026-01-27T18:25:00,T-401,XMEAS(18),after,81.889,0.56,normal
INC0011,2026-04-17T04:15:00,CW-101,XMEAS(21),before,75.674,-0.39,normal
INC0011,2026-04-17T04:30:00,CW-101,XMEAS(21),during,21.657,2.487,abnormal
INC0011,2026-04-17T04:45:00,CW-101,XMEAS(21),after,42.978,-0.614,normal
INC0011,2026-04-17T04:15:00,CW-101,XMV(10),before,87.682,0.729,normal
INC0011,2026-04-17T04:30:00,CW-101,XMV(10),during,64.904,2.575,abnormal
INC0011,2026-04-17T04:45:00,CW-101,XMV(10),after,88.68,-0.201,normal
INC0012,2026-02-26T17:45:00,T-401,XMEAS(15),before,33.306,0.799,normal
INC0012,2026-02-26T18:00:00,T-401,XMEAS(15),during,50.524,2.175,abnormal
INC0012,2026-02-26T18:15:00,T-401,XMEAS(15),after,76.456,0.04,normal
INC0012,2026-02-26T17:45:00,T-401,XMEAS(16),before,85.818,0.374,normal
INC0012,2026-02-26T18:00:00,T-401,XMEAS(16),during,33.792,3.353,abnormal
INC0012,2026-02-26T18:15:00,T-401,XMEAS(16),after,86.421,-0.137,normal
INC0012,2026-02-26T17:45:00,T-401,XMEAS(17),before,63.621,0.842,normal
INC0012,2026-02-26T18:00:00,T-401,XMEAS(17),during,28.724,3.228,abnormal
INC0012,2026-02-26T18:15:00,T-401,XMEAS(17),after,55.499,0.8,normal
INC0012,2026-02-26T17:45:00,T-401,XMEAS(18),before,42.833,0.334,normal
INC0012,2026-02-26T18:00:00,T-401,XMEAS(18),during,58.809,3.285,abnormal
INC0012,2026-02-26T18:15:00,T-401,XMEAS(18),after,66.545,-0.616,normal
INC0013,2026-04-26T20:15:00,R-101,XMEAS(7),before,77.29,-0.33,normal
INC0013,2026-04-26T20:30:00,R-101,XMEAS(7),during,67.096,3.377,abnormal
INC0013,2026-04-26T20:45:00,R-101,XMEAS(7),after,33.939,-0.551,normal
INC0013,2026-04-26T20:15:00,R-101,XMEAS(8),before,37.139,-0.951,normal
INC0013,2026-04-26T20:30:00,R-101,XMEAS(8),during,79.482,2.908,abnormal
INC0013,2026-04-26T20:45:00,R-101,XMEAS(8),after,49.011,-0.854,normal
INC0013,2026-04-26T20:15:00,R-101,XMEAS(9),before,33.61,0.26,normal
INC0013,2026-04-26T20:30:00,R-101,XMEAS(9),during,54.606,3.284,abnormal
INC0013,2026-04-26T20:45:00,R-101,XMEAS(9),after,65.924,-0.512,normal
INC0013,2026-04-26T20:15:00,R-101,XMEAS(21),before,72.568,-0.989,normal
INC0013,2026-04-26T20:30:00,R-101,XMEAS(21),during,27.461,3.409,abnormal
INC0013,2026-04-26T20:45:00,R-101,XMEAS(21),after,32.312,-0.15,normal
INC0014,2026-03-21T11:45:00,V-301,XMEAS(12),before,37.307,-0.482,normal
INC0014,2026-03-21T12:00:00,V-301,XMEAS(12),during,73.607,3.184,abnormal
INC0014,2026-03-21T12:15:00,V-301,XMEAS(12),after,63.872,0.043,normal
INC0014,2026-03-21T11:45:00,V-301,XMEAS(13),before,25.424,-0.451,normal
INC0014,2026-03-21T12:00:00,V-301,XMEAS(13),during,39.02,2.586,abnormal
INC0014,2026-03-21T12:15:00,V-301,XMEAS(13),after,57.811,-0.361,normal
INC0014,2026-03-21T11:45:00,V-301,XMEAS(14),before,36.188,-0.723,normal
INC0014,2026-03-21T12:00:00,V-301,XMEAS(14),during,69.449,3.28,abnormal
INC0014,2026-03-21T12:15:00,V-301,XMEAS(14),after,48.532,-0.872,normal
INC0014,2026-03-21T11:45:00,V-301,XMV(7),before,49.104,0.085,normal
INC0014,2026-03-21T12:00:00,V-301,XMV(7),during,49.41,2.452,abnormal
INC0014,2026-03-21T12:15:00,V-301,XMV(7),after,60.886,0.81,normal
INC0015,2026-05-27T11:30:00,F-104,XMEAS(4),before,78.835,0.448,normal
INC0015,2026-05-27T11:45:00,F-104,XMEAS(4),during,88.651,3.663,abnormal
INC0015,2026-05-27T12:00:00,F-104,XMEAS(4),after,83.485,0.068,normal
INC0015,2026-05-27T11:30:00,F-104,XMEAS(6),before,66.41,0.184,normal
INC0015,2026-05-27T11:45:00,F-104,XMEAS(6),during,50.003,2.243,abnormal
INC0015,2026-05-27T12:00:00,F-104,XMEAS(6),after,32.721,0.734,normal
INC0015,2026-05-27T11:30:00,F-104,XMV(4),before,42.915,-0.48,normal
INC0015,2026-05-27T11:45:00,F-104,XMV(4),during,43.625,2.873,abnormal
INC0015,2026-05-27T12:00:00,F-104,XMV(4),after,39.478,0.759,normal
INC0016,2026-02-13T07:30:00,CW-101,XMEAS(21),before,59.478,0.339,normal
INC0016,2026-02-13T07:45:00,CW-101,XMEAS(21),during,68.963,2.471,abnormal
INC0016,2026-02-13T08:00:00,CW-101,XMEAS(21),after,31.745,0.534,normal
INC0016,2026-02-13T07:30:00,CW-101,XMV(10),before,72.355,0.214,normal
INC0016,2026-02-13T07:45:00,CW-101,XMV(10),during,77.351,2.295,abnormal
INC0016,2026-02-13T08:00:00,CW-101,XMV(10),after,27.567,0.929,normal
INC0017,2026-02-23T11:05:00,F-104,XMEAS(4),before,65.328,-0.862,normal
INC0017,2026-02-23T11:20:00,F-104,XMEAS(4),during,49.404,2.122,abnormal
INC0017,2026-02-23T11:35:00,F-104,XMEAS(4),after,50.347,-0.02,normal
INC0017,2026-02-23T11:05:00,F-104,XMEAS(6),before,82.41,-0.276,normal
INC0017,2026-02-23T11:20:00,F-104,XMEAS(6),during,30.709,2.882,abnormal
INC0017,2026-02-23T11:35:00,F-104,XMEAS(6),after,56.522,-0.648,normal
INC0017,2026-02-23T11:05:00,F-104,XMV(4),before,63.114,0.301,normal
INC0017,2026-02-23T11:20:00,F-104,XMV(4),during,74.225,3.663,abnormal
INC0017,2026-02-23T11:35:00,F-104,XMV(4),after,77.801,-0.07,normal
INC0018,2026-02-16T00:55:00,K-501,XMEAS(5),before,43.824,0.596,normal
INC0018,2026-02-16T01:10:00,K-501,XMEAS(5),during,69.083,3.597,abnormal
INC0018,2026-02-16T01:25:00,K-501,XMEAS(5),after,20.711,-0.447,normal
INC0018,2026-02-16T00:55:00,K-501,XMEAS(20),before,25.993,0.896,normal
INC0018,2026-02-16T01:10:00,K-501,XMEAS(20),during,54.2,3.324,abnormal
INC0018,2026-02-16T01:25:00,K-501,XMEAS(20),after,68.343,0.516,normal
INC0018,2026-02-16T00:55:00,K-501,XMV(5),before,54.357,0.292,normal
INC0018,2026-02-16T01:10:00,K-501,XMV(5),during,26.514,3.448,abnormal
INC0018,2026-02-16T01:25:00,K-501,XMV(5),after,68.425,-0.557,normal
INC0019,2026-04-24T13:05:00,F-104,XMEAS(4),before,88.362,0.449,normal
INC0019,2026-04-24T13:20:00,F-104,XMEAS(4),during,39.81,2.992,abnormal
INC0019,2026-04-24T13:35:00,F-104,XMEAS(4),after,33.588,-0.799,normal
INC0019,2026-04-24T13:05:00,F-104,XMEAS(6),before,32.561,-0.545,normal
INC0019,2026-04-24T13:20:00,F-104,XMEAS(6),during,57.389,2.124,abnormal
INC0019,2026-04-24T13:35:00,F-104,XMEAS(6),after,88.201,-0.451,normal
INC0019,2026-04-24T13:05:00,F-104,XMV(4),before,68.819,0.107,normal
INC0019,2026-04-24T13:20:00,F-104,XMV(4),during,80.792,2.315,abnormal
INC0019,2026-04-24T13:35:00,F-104,XMV(4),after,81.09,-0.018,normal
INC0020,2026-02-18T18:00:00,K-501,XMEAS(5),before,37.373,-0.83,normal
INC0020,2026-02-18T18:15:00,K-501,XMEAS(5),during,49.132,3.049,abnormal
INC0020,2026-02-18T18:30:00,K-501,XMEAS(5),after,63.289,0.192,normal
INC0020,2026-02-18T18:00:00,K-501,XMEAS(20),before,46.626,0.551,normal
INC0020,2026-02-18T18:15:00,K-501,XMEAS(20),during,40.815,3.644,abnormal
INC0020,2026-02-18T18:30:00,K-501,XMEAS(20),after,50.018,0.177,normal
INC0020,2026-02-18T18:00:00,K-501,XMV(5),before,24.216,0.137,normal
INC0020,2026-02-18T18:15:00,K-501,XMV(5),during,26.946,3.732,abnormal
INC0020,2026-02-18T18:30:00,K-501,XMV(5),after,63.786,0.525,normal
INC0021,2026-04-23T22:45:00,F-102,XMEAS(2),before,85.357,0.322,normal
INC0021,2026-04-23T23:00:00,F-102,XMEAS(2),during,58.119,2.823,abnormal
INC0021,2026-04-23T23:15:00,F-102,XMEAS(2),after,83.589,0.295,normal
INC0021,2026-04-23T22:45:00,F-102,XMV(1),before,24.999,0.653,normal
INC0021,2026-04-23T23:00:00,F-102,XMV(1),during,41.533,2.382,abnormal
INC0021,2026-04-23T23:15:00,F-102,XMV(1),after,59.844,0.498,normal
INC0022,2026-03-17T03:45:00,F-104,XMEAS(4),before,21.452,0.174,normal
INC0022,2026-03-17T04:00:00,F-104,XMEAS(4),during,77.499,3.4,abnormal
INC0022,2026-03-17T04:15:00,F-104,XMEAS(4),after,73.418,0.152,normal
INC0022,2026-03-17T03:45:00,F-104,XMEAS(6),before,56.327,-0.65,normal
INC0022,2026-03-17T04:00:00,F-104,XMEAS(6),during,39.471,2.852,abnormal
INC0022,2026-03-17T04:15:00,F-104,XMEAS(6),after,50.512,0.994,normal
INC0022,2026-03-17T03:45:00,F-104,XMV(4),before,87.834,0.628,normal
INC0022,2026-03-17T04:00:00,F-104,XMV(4),during,48.584,2.899,abnormal
INC0022,2026-03-17T04:15:00,F-104,XMV(4),after,27.322,-0.358,normal
INC0023,2026-02-26T12:00:00,F-101,XMEAS(1),before,34.249,0.52,normal
INC0023,2026-02-26T12:15:00,F-101,XMEAS(1),during,84.937,3.034,abnormal
INC0023,2026-02-26T12:30:00,F-101,XMEAS(1),after,68.878,-0.124,normal
INC0023,2026-02-26T12:00:00,F-101,XMV(3),before,88.12,-0.757,normal
INC0023,2026-02-26T12:15:00,F-101,XMV(3),during,36.751,3.135,abnormal
INC0023,2026-02-26T12:30:00,F-101,XMV(3),after,58.559,-0.683,normal
INC0024,2026-03-11T20:45:00,T-401,XMEAS(15),before,46.851,0.103,normal
INC0024,2026-03-11T21:00:00,T-401,XMEAS(15),during,55.577,3.667,abnormal
INC0024,2026-03-11T21:15:00,T-401,XMEAS(15),after,80.482,0.759,normal
INC0024,2026-03-11T20:45:00,T-401,XMEAS(16),before,75.3,-0.448,normal
INC0024,2026-03-11T21:00:00,T-401,XMEAS(16),during,85.397,2.805,abnormal
INC0024,2026-03-11T21:15:00,T-401,XMEAS(16),after,77.438,0.015,normal
INC0024,2026-03-11T20:45:00,T-401,XMEAS(17),before,40.899,-0.434,normal
INC0024,2026-03-11T21:00:00,T-401,XMEAS(17),during,89.923,3.098,abnormal
INC0024,2026-03-11T21:15:00,T-401,XMEAS(17),after,30.402,-0.021,normal
INC0024,2026-03-11T20:45:00,T-401,XMEAS(18),before,44.159,0.077,normal
INC0024,2026-03-11T21:00:00,T-401,XMEAS(18),during,58.04,3.038,abnormal
INC0024,2026-03-11T21:15:00,T-401,XMEAS(18),after,42.524,-0.089,normal
INC0025,2026-04-30T05:50:00,F-104,XMEAS(4),before,51.985,0.052,normal
INC0025,2026-04-30T06:05:00,F-104,XMEAS(4),during,48.699,3.328,abnormal
INC0025,2026-04-30T06:20:00,F-104,XMEAS(4),after,30.805,0.31,normal
INC0025,2026-04-30T05:50:00,F-104,XMEAS(6),before,87.844,-0.061,normal
INC0025,2026-04-30T06:05:00,F-104,XMEAS(6),during,68.489,2.676,abnormal
INC0025,2026-04-30T06:20:00,F-104,XMEAS(6),after,79.624,0.3,normal
INC0025,2026-04-30T05:50:00,F-104,XMV(4),before,80.154,0.705,normal
INC0025,2026-04-30T06:05:00,F-104,XMV(4),during,42.166,2.746,abnormal
INC0025,2026-04-30T06:20:00,F-104,XMV(4),after,73.158,0.437,normal
INC0026,2026-01-07T09:05:00,T-401,XMEAS(15),before,46.239,-0.413,normal
INC0026,2026-01-07T09:20:00,T-401,XMEAS(15),during,57.182,2.347,abnormal
INC0026,2026-01-07T09:35:00,T-401,XMEAS(15),after,75.476,0.132,normal
INC0026,2026-01-07T09:05:00,T-401,XMEAS(16),before,25.528,-0.66,normal
INC0026,2026-01-07T09:20:00,T-401,XMEAS(16),during,63.38,3.58,abnormal
INC0026,2026-01-07T09:35:00,T-401,XMEAS(16),after,83.898,-0.518,normal
INC0026,2026-01-07T09:05:00,T-401,XMEAS(17),before,52.28,-0.714,normal
INC0026,2026-01-07T09:20:00,T-401,XMEAS(17),during,37.873,2.532,abnormal
INC0026,2026-01-07T09:35:00,T-401,XMEAS(17),after,76.324,-0.981,normal
INC0026,2026-01-07T09:05:00,T-401,XMEAS(18),before,67.433,0.802,normal
INC0026,2026-01-07T09:20:00,T-401,XMEAS(18),during,50.921,2.369,abnormal
INC0026,2026-01-07T09:35:00,T-401,XMEAS(18),after,61.13,-0.309,normal
INC0027,2026-04-29T00:55:00,CW-101,XMEAS(21),before,44.662,0.214,normal
INC0027,2026-04-29T01:10:00,CW-101,XMEAS(21),during,63.462,3.182,abnormal
INC0027,2026-04-29T01:25:00,CW-101,XMEAS(21),after,70.465,0.356,normal
INC0027,2026-04-29T00:55:00,CW-101,XMV(10),before,78.684,0.318,normal
INC0027,2026-04-29T01:10:00,CW-101,XMV(10),during,83.238,3.168,abnormal
INC0027,2026-04-29T01:25:00,CW-101,XMV(10),after,41.625,0.293,normal
INC0028,2026-01-06T22:05:00,CW-201,XMEAS(22),before,43.71,0.493,normal
INC0028,2026-01-06T22:20:00,CW-201,XMEAS(22),during,87.403,2.296,abnormal
INC0028,2026-01-06T22:35:00,CW-201,XMEAS(22),after,87.655,-0.718,normal
INC0028,2026-01-06T22:05:00,CW-201,XMV(11),before,70.695,0.72,normal
INC0028,2026-01-06T22:20:00,CW-201,XMV(11),during,87.709,3.766,abnormal
INC0028,2026-01-06T22:35:00,CW-201,XMV(11),after,45.604,0.609,normal
INC0029,2026-01-03T14:55:00,R-101,XMEAS(7),before,41.153,0.819,normal
INC0029,2026-01-03T15:10:00,R-101,XMEAS(7),during,29.784,2.794,abnormal
INC0029,2026-01-03T15:25:00,R-101,XMEAS(7),after,41.306,0.893,normal
INC0029,2026-01-03T14:55:00,R-101,XMEAS(8),before,26.803,-0.015,normal
INC0029,2026-01-03T15:10:00,R-101,XMEAS(8),during,29.496,3.608,abnormal
INC0029,2026-01-03T15:25:00,R-101,XMEAS(8),after,66.934,-0.093,normal
INC0029,2026-01-03T14:55:00,R-101,XMEAS(9),before,86.218,0.486,normal
INC0029,2026-01-03T15:10:00,R-101,XMEAS(9),during,71.959,2.813,abnormal
INC0029,2026-01-03T15:25:00,R-101,XMEAS(9),after,49.042,-0.691,normal
INC0029,2026-01-03T14:55:00,R-101,XMEAS(21),before,54.254,-0.802,normal
INC0029,2026-01-03T15:10:00,R-101,XMEAS(21),during,86.607,2.794,abnormal
INC0029,2026-01-03T15:25:00,R-101,XMEAS(21),after,45.937,-0.935,normal
INC0030,2026-03-18T02:50:00,CW-201,XMEAS(22),before,37.05,0.574,normal
INC0030,2026-03-18T03:05:00,CW-201,XMEAS(22),during,59.52,2.314,abnormal
INC0030,2026-03-18T03:20:00,CW-201,XMEAS(22),after,73.561,-0.863,normal
INC0030,2026-03-18T02:50:00,CW-201,XMV(11),before,35.117,-0.586,normal
INC0030,2026-03-18T03:05:00,CW-201,XMV(11),during,42.999,3.578,abnormal
INC0030,2026-03-18T03:20:00,CW-201,XMV(11),after,83.037,-0.705,normal
INC0031,2026-02-17T13:30:00,F-104,XMEAS(4),before,56.826,0.483,normal
INC0031,2026-02-17T13:45:00,F-104,XMEAS(4),during,53.337,3.368,abnormal
INC0031,2026-02-17T14:00:00,F-104,XMEAS(4),after,55.927,0.556,normal
INC0031,2026-02-17T13:30:00,F-104,XMEAS(6),before,55.269,-0.782,normal
INC0031,2026-02-17T13:45:00,F-104,XMEAS(6),during,23.036,3.707,abnormal
INC0031,2026-02-17T14:00:00,F-104,XMEAS(6),after,80.689,0.566,normal
INC0031,2026-02-17T13:30:00,F-104,XMV(4),before,52.063,0.043,normal
INC0031,2026-02-17T13:45:00,F-104,XMV(4),during,24.258,3.739,abnormal
INC0031,2026-02-17T14:00:00,F-104,XMV(4),after,48.113,-0.042,normal
INC0032,2026-03-25T22:15:00,CW-101,XMEAS(21),before,28.009,0.586,normal
INC0032,2026-03-25T22:30:00,CW-101,XMEAS(21),during,81.439,3.213,abnormal
INC0032,2026-03-25T22:45:00,CW-101,XMEAS(21),after,80.584,0.103,normal
INC0032,2026-03-25T22:15:00,CW-101,XMV(10),before,82.166,-0.14,normal
INC0032,2026-03-25T22:30:00,CW-101,XMV(10),during,77.919,2.803,abnormal
INC0032,2026-03-25T22:45:00,CW-101,XMV(10),after,71.073,-0.203,normal
INC0033,2026-03-15T01:55:00,CW-101,XMEAS(21),before,81.153,-0.178,normal
INC0033,2026-03-15T02:10:00,CW-101,XMEAS(21),during,49.606,3.7,abnormal
INC0033,2026-03-15T02:25:00,CW-101,XMEAS(21),after,23.601,0.832,normal
INC0033,2026-03-15T01:55:00,CW-101,XMV(10),before,41.871,-0.425,normal
INC0033,2026-03-15T02:10:00,CW-101,XMV(10),during,55.519,2.276,abnormal
INC0033,2026-03-15T02:25:00,CW-101,XMV(10),after,53.753,-0.691,normal
INC0034,2026-03-02T00:30:00,CW-101,XMEAS(21),before,48.055,0.133,normal
INC0034,2026-03-02T00:45:00,CW-101,XMEAS(21),during,64.322,2.341,abnormal
INC0034,2026-03-02T01:00:00,CW-101,XMEAS(21),after,72.228,-0.939,normal
INC0034,2026-03-02T00:30:00,CW-101,XMV(10),before,49.388,-0.57,normal
INC0034,2026-03-02T00:45:00,CW-101,XMV(10),during,45.904,2.68,abnormal
INC0034,2026-03-02T01:00:00,CW-101,XMV(10),after,74.378,0.443,normal
INC0035,2026-04-12T23:45:00,K-501,XMEAS(5),before,66.699,-0.027,normal
INC0035,2026-04-13T00:00:00,K-501,XMEAS(5),during,47.668,2.177,abnormal
INC0035,2026-04-13T00:15:00,K-501,XMEAS(5),after,20.538,0.199,normal
INC0035,2026-04-12T23:45:00,K-501,XMEAS(20),before,34.786,-0.397,normal
INC0035,2026-04-13T00:00:00,K-501,XMEAS(20),during,37.886,2.333,abnormal
INC0035,2026-04-13T00:15:00,K-501,XMEAS(20),after,20.541,-0.344,normal
INC0035,2026-04-12T23:45:00,K-501,XMV(5),before,32.299,0.494,normal
INC0035,2026-04-13T00:00:00,K-501,XMV(5),during,69.257,2.746,abnormal
INC0035,2026-04-13T00:15:00,K-501,XMV(5),after,78.335,0.001,normal
INC0036,2026-01-13T13:00:00,CW-201,XMEAS(22),before,87.634,-0.19,normal
INC0036,2026-01-13T13:15:00,CW-201,XMEAS(22),during,86.333,2.392,abnormal
INC0036,2026-01-13T13:30:00,CW-201,XMEAS(22),after,68.273,-0.08,normal
INC0036,2026-01-13T13:00:00,CW-201,XMV(11),before,50.57,-0.276,normal
INC0036,2026-01-13T13:15:00,CW-201,XMV(11),during,50.497,2.28,abnormal
INC0036,2026-01-13T13:30:00,CW-201,XMV(11),after,25.505,-0.199,normal
INC0037,2026-05-08T11:55:00,F-104,XMEAS(4),before,74.099,-0.646,normal
INC0037,2026-05-08T12:10:00,F-104,XMEAS(4),during,72.811,2.94,abnormal
INC0037,2026-05-08T12:25:00,F-104,XMEAS(4),after,51.423,0.52,normal
INC0037,2026-05-08T11:55:00,F-104,XMEAS(6),before,59.514,0.848,normal
INC0037,2026-05-08T12:10:00,F-104,XMEAS(6),during,63.717,3.18,abnormal
INC0037,2026-05-08T12:25:00,F-104,XMEAS(6),after,63.905,0.728,normal
INC0037,2026-05-08T11:55:00,F-104,XMV(4),before,24.78,-0.698,normal
INC0037,2026-05-08T12:10:00,F-104,XMV(4),during,41.197,2.852,abnormal
INC0037,2026-05-08T12:25:00,F-104,XMV(4),after,23.932,-0.451,normal
INC0038,2026-01-13T20:55:00,V-301,XMEAS(12),before,60.016,0.818,normal
INC0038,2026-01-13T21:10:00,V-301,XMEAS(12),during,62.35,2.42,abnormal
INC0038,2026-01-13T21:25:00,V-301,XMEAS(12),after,87.041,0.003,normal
INC0038,2026-01-13T20:55:00,V-301,XMEAS(13),before,76.768,-0.099,normal
INC0038,2026-01-13T21:10:00,V-301,XMEAS(13),during,88.767,3.524,abnormal
INC0038,2026-01-13T21:25:00,V-301,XMEAS(13),after,65.229,-0.831,normal
INC0038,2026-01-13T20:55:00,V-301,XMEAS(14),before,69.534,-0.922,normal
INC0038,2026-01-13T21:10:00,V-301,XMEAS(14),during,56.685,3.785,abnormal
INC0038,2026-01-13T21:25:00,V-301,XMEAS(14),after,45.473,0.22,normal
INC0038,2026-01-13T20:55:00,V-301,XMV(7),before,47.119,0.836,normal
INC0038,2026-01-13T21:10:00,V-301,XMV(7),during,67.523,3.417,abnormal
INC0038,2026-01-13T21:25:00,V-301,XMV(7),after,64.162,-0.895,normal
INC0039,2026-01-12T10:55:00,CW-101,XMEAS(21),before,78.027,0.34,normal
INC0039,2026-01-12T11:10:00,CW-101,XMEAS(21),during,67.979,3.356,abnormal
INC0039,2026-01-12T11:25:00,CW-101,XMEAS(21),after,65.222,0.053,normal
INC0039,2026-01-12T10:55:00,CW-101,XMV(10),before,45.328,-0.153,normal
INC0039,2026-01-12T11:10:00,CW-101,XMV(10),during,32.618,2.716,abnormal
INC0039,2026-01-12T11:25:00,CW-101,XMV(10),after,86.337,-0.572,normal
