incident_id,start_time,machine_id,machine_name,tep_fault_number,rca_category,operator_description,severity,downtime_minutes,operator_id,engineer_id,status,rca_id
INC0022,2026-03-17T04:00:00,F-104,A+C Feed System,10,Feed temperature drift,A+C Feed System issue: feed temperature fluctuated and downstream temperature moved. Operator observed c feed temperature random variation pattern similar to TEP fault 10.,High,103,EMP005,EMP008,Resolved,RCA0022
INC0023,2026-02-26T12:15:00,F-101,A Feed System,6,Feed interruption,A Feed System issue: feed flow dropped suddenly and reactor feed rate became unstable. Operator observed a feed loss pattern similar to TEP fault 6.,High,80,EMP001,EMP006,Resolved,RCA0023
INC0024,2026-03-11T21:00:00,T-401,Stripper,18,Unknown process disturbance,Stripper issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 18.,Medium,103,EMP002,EMP006,Resolved,RCA0024
INC0025,2026-04-30T06:05:00,F-104,A+C Feed System,7,Feed pressure interruption,A+C Feed System issue: feed pressure dropped and reactor feed became unstable. Operator observed c header pressure loss pattern similar to TEP fault 7.,High,99,EMP001,EMP005,Resolved,RCA0025
INC0026,2026-01-07T09:20:00,T-401,Stripper,18,Unknown process disturbance,Stripper issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 18.,Low,62,EMP005,EMP004,Resolved,RCA0026
INC0027,2026-04-29T01:10:00,CW-101,Reactor Cooling Water System,14,Control valve stiction,Reactor Cooling Water System issue: controller output changed but process variable did not respond. Operator observed reactor cooling water valve sticking pattern similar to TEP fault 14.,High,64,EMP008,EMP003,Resolved,RCA0027
INC0028,2026-01-06T22:20:00,CW-201,Separator Cooling Water System,15,Control valve stiction,Separator Cooling Water System issue: controller output changed but process variable did not respond. Operator observed condenser cooling water valve sticking pattern similar to TEP fault 15.,Medium,135,EMP003,EMP003,Resolved,RCA0028
INC0029,2026-01-03T15:10:00,R-101,Reactor,13,Reactor performance drift,Reactor issue: conversion dropped and recycle increased gradually. Operator observed reaction kinetics slow drift pattern similar to TEP fault 13.,High,59,EMP005,EMP007,Resolved,RCA0029
INC0030,2026-03-18T03:05:00,CW-201,Separator Cooling Water System,15,Control valve stiction,Separator Cooling Water System issue: controller output changed but process variable did not respond. Operator observed condenser cooling water valve sticking pattern similar to TEP fault 15.,Critical,190,EMP002,EMP008,Resolved,RCA0030
INC0031,2026-02-17T13:45:00,F-104,A+C Feed System,1,Feed composition/feed flow imbalance,A+C Feed System issue: feed ratio changed and reactor pressure/composition shifted. Operator observed a/c feed ratio disturbance pattern similar to TEP fault 1.,Critical,211,EMP003,EMP003,Resolved,RCA0031
INC0032,2026-03-25T22:30:00,CW-101,Reactor Cooling Water System,4,Cooling performance issue,Reactor Cooling Water System issue: temperature started rising and reactor pressure increased. Operator observed reactor cooling water inlet temp step pattern similar to TEP fault 4.,Critical,177,EMP002,EMP003,Resolved,RCA0032
INC0033,2026-03-15T02:10:00,CW-101,Reactor Cooling Water System,11,Cooling water instability,Reactor Cooling Water System issue: cooling outlet temperature fluctuated and control valve hunted. Operator observed reactor cooling water inlet temp random variation pattern similar to TEP fault 11.,High,84,EMP008,EMP003,Resolved,RCA0033
INC0034,2026-03-02T00:45:00,CW-101,Reactor Cooling Water System,4,Cooling performance issue,Reactor Cooling Water System issue: temperature started rising and reactor pressure increased. Operator observed reactor cooling water inlet temp step pattern similar to TEP fault 4.,High,105,EMP002,EMP005,Resolved,RCA0034
INC0035,2026-04-13T00:00:00,K-501,Recycle Compressor,19,Unknown process disturbance,Recycle Compressor issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 19.,Critical,203,EMP001,EMP008,Resolved,RCA0035
INC0036,2026-01-13T13:15:00,CW-201,Separator Cooling Water System,12,Cooling water instability,Separator Cooling Water System issue: cooling outlet temperature fluctuated and control valve hunted. Operator observed condenser cooling water inlet temp random variation pattern similar to TEP fault 12.,Critical,214,EMP001,EMP006,Resolved,RCA0036
INC0037,2026-05-08T12:10:00,F-104,A+C Feed System,10,Feed temperature drift,A+C Feed System issue: feed temperature fluctuated and downstream temperature moved. Operator observed c feed temperature random variation pattern similar to TEP fault 10.,Medium,46,EMP002,EMP007,Resolved,RCA0037
INC0038,2026-01-13T21:10:00,V-301,Product Separator,17,Unknown process disturbance,Product Separator issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 17.,High,85,EMP001,EMP003,Resolved,RCA0038
INC0039,2026-01-12T11:10:00,CW-101,Reactor Cooling Water System,11,Cooling water instability,Reactor Cooling Water System issue: cooling outlet temperature fluctuated and control valve hunted. Operator observed reactor cooling water inlet temp random variation pattern similar to TEP fault 11.,Low,11,EMP003,EMP005,Resolved,RCA0039
INC0040,2026-02-03T00:05:00,R-101,Reactor,16,Unknown process disturbance,Reactor issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 16.,Critical,161,EMP003,EMP003,Resolved,RCA0040
INC0041,2026-03-13T16:05:00,V-301,Product Separator,17,Unknown process disturbance,Product Separator issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 17.,High,99,EMP005,EMP003,Resolved,RCA0041
INC0042,2026-01-04T11:10:00,F-102,D Feed System,3,Feed temperature abnormality,D Feed System issue: feed temperature step change caused reactor temperature movement. Operator observed d feed temperature disturbance pattern similar to TEP fault 3.,Medium,32,EMP003,EMP007,Resolved,RCA0042
INC0043,2026-03-31T14:10:00,F-102,D Feed System,3,Feed temperature abnormality,D Feed System issue: feed temperature step change caused reactor temperature movement. Operator observed d feed temperature disturbance pattern similar to TEP fault 3.,Low,8,EMP001,EMP006,Monitoring,RCA0043
INC0044,2026-01-07T13:10:00,CW-201,Separator Cooling Water System,15,Control valve stiction,Separator Cooling Water System issue: controller output changed but process variable did not respond. Operator observed condenser cooling water valve sticking pattern similar to TEP fault 15.,Medium,40,EMP004,EMP003,Resolved,RCA0044
INC0045,2026-04-14T01:45:00,CW-101,Reactor Cooling Water System,14,Control valve stiction,Reactor Cooling Water System issue: controller output changed but process variable did not respond. Operator observed reactor cooling water valve sticking pattern similar to TEP fault 14.,Medium,41,EMP006,EMP008,Resolved,RCA0045
INC0046,2026-03-07T14:20:00,CW-201,Separator Cooling Water System,12,Cooling water instability,Separator Cooling Water System issue: cooling outlet temperature fluctuated and control valve hunted. Operator observed condenser cooling water inlet temp random variation pattern similar to TEP fault 12.,Low,31,EMP003,EMP008,Resolved,RCA0046
INC0047,2026-03-19T09:05:00,F-102,D Feed System,3,Feed temperature abnormality,D Feed System issue: feed temperature step change caused reactor temperature movement. Operator observed d feed temperature disturbance pattern similar to TEP fault 3.,Critical,169,EMP006,EMP008,Resolved,RCA0047
INC0048,2026-01-13T20:05:00,K-501,Recycle Compressor,19,Unknown process disturbance,Recycle Compressor issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 19.,Critical,183,EMP002,EMP006,Resolved,RCA0048
INC0049,2026-04-23T16:20:00,F-101,A Feed System,6,Feed interruption,A Feed System issue: feed flow dropped suddenly and reactor feed rate became unstable. Operator observed a feed loss pattern similar to TEP fault 6.,High,57,EMP001,EMP003,Monitoring,RCA0049
INC0050,2026-03-30T03:20:00,CW-201,Separator Cooling Water System,12,Cooling water instability,Separator Cooling Water System issue: cooling outlet temperature fluctuated and control valve hunted. Operator observed condenser cooling water inlet temp random variation pattern similar to TEP fault 12.,Medium,15,EMP004,EMP006,Resolved,RCA0050
INC0051,2026-03-02T11:00:00,K-501,Recycle Compressor,19,Unknown process disturbance,Recycle Compressor issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 19.,Low,8,EMP008,EMP005,Monitoring,RCA0051
INC0052,2026-01-08T23:00:00,F-101,A Feed System,2,Feed quality disturbance,A Feed System issue: composition analysis changed and product purity moved. Operator observed b composition change pattern similar to TEP fault 2.,Medium,46,EMP006,EMP006,Resolved,RCA0052
INC0053,2026-04-09T19:05:00,K-501,Recycle Compressor,19,Unknown process disturbance,Recycle Compressor issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 19.,High,81,EMP007,EMP004,Resolved,RCA0053
INC0054,2026-03-24T21:05:00,R-101,Reactor,20,Unknown process disturbance,Reactor issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 20.,Critical,172,EMP005,EMP007,Resolved,RCA0054
INC0055,2026-05-03T16:15:00,CW-101,Reactor Cooling Water System,11,Cooling water instability,Reactor Cooling Water System issue: cooling outlet temperature fluctuated and control valve hunted. Operator observed reactor cooling water inlet temp random variation pattern similar to TEP fault 11.,Medium,45,EMP003,EMP006,Resolved,RCA0055
INC0056,2026-01-19T13:10:00,R-101,Reactor,20,Unknown process disturbance,Reactor issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 20.,Medium,42,EMP008,EMP004,Resolved,RCA0056
INC0057,2026-01-28T12:15:00,F-104,A+C Feed System,10,Feed temperature drift,A+C Feed System issue: feed temperature fluctuated and downstream temperature moved. Operator observed c feed temperature random variation pattern similar to TEP fault 10.,High,141,EMP005,EMP008,Resolved,RCA0057
INC0058,2026-01-29T07:10:00,CW-201,Separator Cooling Water System,5,Condenser cooling issue,Separator Cooling Water System issue: separator temperature and pressure started increasing. Operator observed condenser cooling water inlet temp step pattern similar to TEP fault 5.,Critical,155,EMP008,EMP003,Resolved,RCA0058
INC0059,2026-01-31T23:45:00,CW-101,Reactor Cooling Water System,14,Control valve stiction,Reactor Cooling Water System issue: controller output changed but process variable did not respond. Operator observed reactor cooling water valve sticking pattern similar to TEP fault 14.,Medium,19,EMP007,EMP005,Resolved,RCA0059
INC0060,2026-05-19T09:30:00,F-101,A Feed System,2,Feed quality disturbance,A Feed System issue: composition analysis changed and product purity moved. Operator observed b composition change pattern similar to TEP fault 2.,Medium,13,EMP001,EMP004,Resolved,RCA0060
INC0061,2026-05-06T17:05:00,K-501,Recycle Compressor,19,Unknown process disturbance,Recycle Compressor issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 19.,High,68,EMP006,EMP008,Resolved,RCA0061
INC0062,2026-05-18T13:45:00,F-104,A+C Feed System,7,Feed pressure interruption,A+C Feed System issue: feed pressure dropped and reactor feed became unstable. Operator observed c header pressure loss pattern similar to TEP fault 7.,High,107,EMP004,EMP006,Resolved,RCA0062
INC0063,2026-01-04T00:10:00,CW-201,Separator Cooling Water System,5,Condenser cooling issue,Separator Cooling Water System issue: separator temperature and pressure started increasing. Operator observed condenser cooling water inlet temp step pattern similar to TEP fault 5.,High,60,EMP005,EMP004,Resolved,RCA0063
INC0064,2026-05-25T01:30:00,CW-201,Separator Cooling Water System,5,Condenser cooling issue,Separator Cooling Water System issue: separator temperature and pressure started increasing. Operator observed condenser cooling water inlet temp step pattern similar to TEP fault 5.,Medium,24,EMP003,EMP003,Resolved,RCA0064
INC0065,2026-05-16T22:15:00,F-102,D Feed System,9,Feed temperature drift,D Feed System issue: feed temperature fluctuated and downstream temperature moved. Operator observed d feed temperature random variation pattern similar to TEP fault 9.,Low,46,EMP004,EMP008,Resolved,RCA0065
INC0066,2026-01-09T04:00:00,F-102,D Feed System,9,Feed temperature drift,D Feed System issue: feed temperature fluctuated and downstream temperature moved. Operator observed d feed temperature random variation pattern similar to TEP fault 9.,High,87,EMP005,EMP007,Resolved,RCA0066
INC0067,2026-01-17T22:15:00,F-101,A Feed System,2,Feed quality disturbance,A Feed System issue: composition analysis changed and product purity moved. Operator observed b composition change pattern similar to TEP fault 2.,Medium,75,EMP007,EMP005,Resolved,RCA0067
INC0068,2026-03-03T16:45:00,CW-201,Separator Cooling Water System,15,Control valve stiction,Separator Cooling Water System issue: controller output changed but process variable did not respond. Operator observed condenser cooling water valve sticking pattern similar to TEP fault 15.,Medium,60,EMP003,EMP003,Resolved,RCA0068
INC0069,2026-03-14T02:10:00,F-102,D Feed System,9,Feed temperature drift,D Feed System issue: feed temperature fluctuated and downstream temperature moved. Operator observed d feed temperature random variation pattern similar to TEP fault 9.,High,111,EMP004,EMP008,Resolved,RCA0069
INC0070,2026-02-18T02:45:00,R-101,Reactor,13,Reactor performance drift,Reactor issue: conversion dropped and recycle increased gradually. Operator observed reaction kinetics slow drift pattern similar to TEP fault 13.,High,103,EMP006,EMP003,Resolved,RCA0070
INC0071,2026-05-09T16:10:00,R-101,Reactor,13,Reactor performance drift,Reactor issue: conversion dropped and recycle increased gradually. Operator observed reaction kinetics slow drift pattern similar to TEP fault 13.,Critical,176,EMP005,EMP004,Resolved,RCA0071
INC0072,2026-04-06T19:15:00,CW-101,Reactor Cooling Water System,11,Cooling water instability,Reactor Cooling Water System issue: cooling outlet temperature fluctuated and control valve hunted. Operator observed reactor cooling water inlet temp random variation pattern similar to TEP fault 11.,Critical,181,EMP004,EMP006,Resolved,RCA0072
INC0073,2026-03-01T15:10:00,CW-101,Reactor Cooling Water System,4,Cooling performance issue,Reactor Cooling Water System issue: temperature started rising and reactor pressure increased. Operator observed reactor cooling water inlet temp step pattern similar to TEP fault 4.,High,61,EMP005,EMP007,Resolved,RCA0073
INC0074,2026-04-16T23:00:00,CW-201,Separator Cooling Water System,15,Control valve stiction,Separator Cooling Water System issue: controller output changed but process variable did not respond. Operator observed condenser cooling water valve sticking pattern similar to TEP fault 15.,Critical,149,EMP001,EMP006,Resolved,RCA0074
INC0075,2026-05-21T15:45:00,T-401,Stripper,18,Unknown process disturbance,Stripper issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 18.,Low,13,EMP007,EMP003,Resolved,RCA0075
INC0076,2026-02-17T13:45:00,F-101,A Feed System,2,Feed quality disturbance,A Feed System issue: composition analysis changed and product purity moved. Operator observed b composition change pattern similar to TEP fault 2.,High,64,EMP003,EMP004,Resolved,RCA0076
INC0077,2026-04-19T14:30:00,CW-201,Separator Cooling Water System,15,Control valve stiction,Separator Cooling Water System issue: controller output changed but process variable did not respond. Operator observed condenser cooling water valve sticking pattern similar to TEP fault 15.,High,121,EMP007,EMP004,Resolved,RCA0077
INC0078,2026-05-30T11:10:00,F-101,A Feed System,6,Feed interruption,A Feed System issue: feed flow dropped suddenly and reactor feed rate became unstable. Operator observed a feed loss pattern similar to TEP fault 6.,Low,8,EMP006,EMP005,Resolved,RCA0078
INC0079,2026-03-04T23:10:00,CW-101,Reactor Cooling Water System,11,Cooling water instability,Reactor Cooling Water System issue: cooling outlet temperature fluctuated and control valve hunted. Operator observed reactor cooling water inlet temp random variation pattern similar to TEP fault 11.,Medium,51,EMP003,EMP008,Resolved,RCA0079
INC0080,2026-05-25T22:45:00,F-104,A+C Feed System,1,Feed composition/feed flow imbalance,A+C Feed System issue: feed ratio changed and reactor pressure/composition shifted. Operator observed a/c feed ratio disturbance pattern similar to TEP fault 1.,High,53,EMP005,EMP004,Resolved,RCA0080
INC0081,2026-03-28T17:10:00,R-101,Reactor,13,Reactor performance drift,Reactor issue: conversion dropped and recycle increased gradually. Operator observed reaction kinetics slow drift pattern similar to TEP fault 13.,High,69,EMP007,EMP003,Resolved,RCA0081
INC0082,2026-02-27T10:45:00,F-104,A+C Feed System,1,Feed composition/feed flow imbalance,A+C Feed System issue: feed ratio changed and reactor pressure/composition shifted. Operator observed a/c feed ratio disturbance pattern similar to TEP fault 1.,Medium,44,EMP002,EMP005,Resolved,RCA0082
INC0083,2026-02-16T13:45:00,CW-101,Reactor Cooling Water System,11,Cooling water instability,Reactor Cooling Water System issue: cooling outlet temperature fluctuated and control valve hunted. Operator observed reactor cooling water inlet temp random variation pattern similar to TEP fault 11.,Low,8,EMP001,EMP004,Resolved,RCA0083
INC0084,2026-01-02T08:15:00,CW-201,Separator Cooling Water System,5,Condenser cooling issue,Separator Cooling Water System issue: separator temperature and pressure started increasing. Operator observed condenser cooling water inlet temp step pattern similar to TEP fault 5.,Low,41,EMP006,EMP008,Resolved,RCA0084
INC0085,2026-04-12T06:20:00,F-102,D Feed System,3,Feed temperature abnormality,D Feed System issue: feed temperature step change caused reactor temperature movement. Operator observed d feed temperature disturbance pattern similar to TEP fault 3.,Low,13,EMP005,EMP005,Resolved,RCA0085
INC0086,2026-01-08T03:05:00,R-101,Reactor,20,Unknown process disturbance,Reactor issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 20.,High,83,EMP006,EMP004,Resolved,RCA0086
INC0087,2026-01-09T21:05:00,CW-201,Separator Cooling Water System,15,Control valve stiction,Separator Cooling Water System issue: controller output changed but process variable did not respond. Operator observed condenser cooling water valve sticking pattern similar to TEP fault 15.,Critical,143,EMP008,EMP003,Resolved,RCA0087
INC0088,2026-05-16T21:00:00,T-401,Stripper,18,Unknown process disturbance,Stripper issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 18.,Critical,196,EMP006,EMP006,Resolved,RCA0088
INC0089,2026-05-01T07:30:00,F-104,A+C Feed System,1,Feed composition/feed flow imbalance,A+C Feed System issue: feed ratio changed and reactor pressure/composition shifted. Operator observed a/c feed ratio disturbance pattern similar to TEP fault 1.,Medium,32,EMP004,EMP006,Resolved,RCA0089
INC0090,2026-01-28T03:30:00,CW-201,Separator Cooling Water System,5,Condenser cooling issue,Separator Cooling Water System issue: separator temperature and pressure started increasing. Operator observed condenser cooling water inlet temp step pattern similar to TEP fault 5.,Critical,174,EMP008,EMP008,Resolved,RCA0090
INC0091,2026-05-21T11:30:00,F-102,D Feed System,3,Feed temperature abnormality,D Feed System issue: feed temperature step change caused reactor temperature movement. Operator observed d feed temperature disturbance pattern similar to TEP fault 3.,High,92,EMP001,EMP005,Resolved,RCA0091
INC0092,2026-01-04T16:10:00,F-104,A+C Feed System,10,Feed temperature drift,A+C Feed System issue: feed temperature fluctuated and downstream temperature moved. Operator observed c feed temperature random variation pattern similar to TEP fault 10.,Medium,22,EMP002,EMP003,Resolved,RCA0092
INC0093,2026-03-24T05:05:00,R-101,Reactor,20,Unknown process disturbance,Reactor issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 20.,Low,29,EMP002,EMP006,Resolved,RCA0093
INC0094,2026-03-27T22:20:00,F-101,A Feed System,2,Feed quality disturbance,A Feed System issue: composition analysis changed and product purity moved. Operator observed b composition change pattern similar to TEP fault 2.,Critical,214,EMP003,EMP003,Resolved,RCA0094
INC0095,2026-05-15T11:30:00,F-104,A+C Feed System,1,Feed composition/feed flow imbalance,A+C Feed System issue: feed ratio changed and reactor pressure/composition shifted. Operator observed a/c feed ratio disturbance pattern similar to TEP fault 1.,High,69,EMP007,EMP004,Resolved,RCA0095
INC0096,2026-05-29T13:05:00,CW-101,Reactor Cooling Water System,4,Cooling performance issue,Reactor Cooling Water System issue: temperature started rising and reactor pressure increased. Operator observed reactor cooling water inlet temp step pattern similar to TEP fault 4.,Medium,41,EMP008,EMP005,Resolved,RCA0096
INC0097,2026-03-28T10:15:00,CW-201,Separator Cooling Water System,15,Control valve stiction,Separator Cooling Water System issue: controller output changed but process variable did not respond. Operator observed condenser cooling water valve sticking pattern similar to TEP fault 15.,High,99,EMP006,EMP006,Resolved,RCA0097
INC0098,2026-04-15T01:45:00,F-102,D Feed System,9,Feed temperature drift,D Feed System issue: feed temperature fluctuated and downstream temperature moved. Operator observed d feed temperature random variation pattern similar to TEP fault 9.,Critical,184,EMP005,EMP006,Resolved,RCA0098
INC0099,2026-03-30T12:45:00,CW-201,Separator Cooling Water System,5,Condenser cooling issue,Separator Cooling Water System issue: separator temperature and pressure started increasing. Operator observed condenser cooling water inlet temp step pattern similar to TEP fault 5.,Medium,91,EMP007,EMP008,Resolved,RCA0099
INC0100,2026-05-11T10:05:00,T-401,Stripper,18,Unknown process disturbance,Stripper issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 18.,Critical,197,EMP006,EMP008,Resolved,RCA0100
INC0101,2026-01-02T01:15:00,F-101,A Feed System,2,Feed quality disturbance,A Feed System issue: composition analysis changed and product purity moved. Operator observed b composition change pattern similar to TEP fault 2.,Medium,46,EMP003,EMP006,Resolved,RCA0101
INC0102,2026-05-21T20:00:00,F-102,D Feed System,3,Feed temperature abnormality,D Feed System issue: feed temperature step change caused reactor temperature movement. Operator observed d feed temperature disturbance pattern similar to TEP fault 3.,Medium,29,EMP005,EMP006,Resolved,RCA0102
INC0103,2026-01-09T11:30:00,F-104,A+C Feed System,1,Feed composition/feed flow imbalance,A+C Feed System issue: feed ratio changed and reactor pressure/composition shifted. Operator observed a/c feed ratio disturbance pattern similar to TEP fault 1.,Medium,32,EMP005,EMP006,Resolved,RCA0103
INC0104,2026-01-03T10:30:00,F-104,A+C Feed System,1,Feed composition/feed flow imbalance,A+C Feed System issue: feed ratio changed and reactor pressure/composition shifted. Operator observed a/c feed ratio disturbance pattern similar to TEP fault 1.,Low,24,EMP002,EMP007,Resolved,RCA0104
INC0105,2026-03-05T20:45:00,F-102,D Feed System,3,Feed temperature abnormality,D Feed System issue: feed temperature step change caused reactor temperature movement. Operator observed d feed temperature disturbance pattern similar to TEP fault 3.,Medium,64,EMP008,EMP005,Resolved,RCA0105
INC0106,2026-01-12T01:10:00,F-101,A Feed System,2,Feed quality disturbance,A Feed System issue: composition analysis changed and product purity moved. Operator observed b composition change pattern similar to TEP fault 2.,High,111,EMP001,EMP008,Resolved,RCA0106
INC0107,2026-05-20T16:05:00,R-101,Reactor,13,Reactor performance drift,Reactor issue: conversion dropped and recycle increased gradually. Operator observed reaction kinetics slow drift pattern similar to TEP fault 13.,Low,8,EMP002,EMP006,Resolved,RCA0107
INC0108,2026-01-25T05:45:00,R-101,Reactor,16,Unknown process disturbance,Reactor issue: multiple variables moved abnormally without a clear single alarm. Operator observed unknown disturbance pattern similar to TEP fault 16.,High,106,EMP007,EMP003,Resolved,RCA0108
INC0109,2026-03-13T16:20:00,R-101,Reactor,13,Reactor performance drift,Reactor issue: conversion dropped and recycle increased gradually. Operator observed reaction kinetics slow drift pattern similar to TEP fault 13.,Critical,181,EMP006,EMP005,Resolved,RCA0109
